file_path,device,is_behavior,set_type,type_label,brand_label,device_label,sample_file,sample_base,seq_feature_path,raw_feature_path,behavior_type,idle_group
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00051_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00051.csv,netatmo-weather-station__2019-04-28_idle__00051,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00051_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00051_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00115_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00115.csv,netatmo-weather-station__2019-04-28_idle__00115,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00115_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00115_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00081_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00081.csv,netatmo-weather-station__2019-04-28_idle__00081,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00081_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00081_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00090_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00090.csv,netatmo-weather-station__2019-04-28_idle__00090,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00090_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00090_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00153_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00153.csv,netatmo-weather-station__2019-04-28_idle__00153,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00153_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00153_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00147_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00147.csv,netatmo-weather-station__2019-04-28_idle__00147,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00147_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00147_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00042_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00042.csv,netatmo-weather-station__2019-04-28_idle__00042,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00042_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00042_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00046_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00046.csv,netatmo-weather-station__2019-04-28_idle__00046,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00046_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00046_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00047_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00047.csv,netatmo-weather-station__2019-04-28_idle__00047,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00047_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00047_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00028_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00028.csv,netatmo-weather-station__2019-04-28_idle__00028,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00028_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00028_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00094_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00094.csv,netatmo-weather-station__2019-04-28_idle__00094,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00094_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00094_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00049_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00049.csv,netatmo-weather-station__2019-04-28_idle__00049,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00049_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00049_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00022_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00022.csv,netatmo-weather-station__2019-04-28_idle__00022,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00022_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00022_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00114_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00114.csv,netatmo-weather-station__2019-04-28_idle__00114,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00114_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00114_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00002_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00002.csv,netatmo-weather-station__2019-04-28_idle__00002,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00002_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00002_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00013_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00013.csv,netatmo-weather-station__2019-04-28_idle__00013,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00013_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00013_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00015_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00015.csv,netatmo-weather-station__2019-04-28_idle__00015,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00015_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00015_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00073_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00073.csv,netatmo-weather-station__2019-04-28_idle__00073,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00073_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00073_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00138_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00138.csv,netatmo-weather-station__2019-04-28_idle__00138,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00138_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00138_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00157_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00157.csv,netatmo-weather-station__2019-04-28_idle__00157,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00157_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00157_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00106_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00106.csv,netatmo-weather-station__2019-04-28_idle__00106,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00106_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00106_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00005_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00005.csv,netatmo-weather-station__2019-04-28_idle__00005,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00005_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00005_raw.npz,,2019-04-28_idle
/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_statistical_feature/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00050_stat.csv,netatmo-weather-station,0,unknown,Appliances1,Netatmo,netatmo-weather-station,netatmo-weather-station__2019-04-28_idle__00050.csv,netatmo-weather-station__2019-04-28_idle__00050,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_sequence_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00050_seq.npz,/home/hyj/unknownDeviceIdentification/dataset/7_cleaned_features/7_cleaned_rawByte_feature_matrix/uk/netatmo-weather-station/idle/2019-04-28_idle/netatmo-weather-station__2019-04-28_idle__00050_raw.npz,,2019-04-28_idle
